sign,wkt
U101,"LINESTRING (-119.6991930 34.4121960, -119.6991200 34.4121980)"
U101,"LINESTRING (-119.7582710 34.4412560, -119.7579570 34.4411580, -119.7576880 34.4410300, -119.7574200 34.4409640, -119.7570440 34.4408540, -119.7568580 34.4407920, -119.7566750 34.4407250, -119.7564870 34.4406520, -119.7563020 34.4405730, -119.7559400 34.4404030, -119.7557910 34.4403240)"
S1,"LINESTRING (-120.4578400 34.6390230, -120.4578530 34.6406360, -120.4578200 34.6422380, -120.4577990 34.6438260, -120.4577820 34.6446640)"
U101,"LINESTRING (-120.1920210 34.6013860, -120.1919310 34.6017020, -120.1917310 34.6027150, -120.1915250 34.6038340)"
U101,"LINESTRING (-120.1619500 34.4727730, -120.1612770 34.4728960, -120.1612250 34.4729060, -120.1572430 34.4736290, -120.1548830 34.4740660, -120.1548210 34.4740760, -120.1535400 34.4742840, -120.1535040 34.4742860, -120.1525960 34.4743350, -120.1525300 34.4743370, -120.1507730 34.4743920, -120.1499990 34.4744010, -120.1468910 34.4744250, -120.1457850 34.4744550, -120.1454090 34.4744810, -120.1443990 34.4745660)"
S1,"LINESTRING (-120.3504090 34.5359580, -120.3521570 34.5376720, -120.3524820 34.5380500, -120.3526360 34.5382620, -120.3526990 34.5383580)"
S1,"LINESTRING (-120.4079170 34.5858300, -120.4079590 34.5859860, -120.4079670 34.5860570)"
S1,"LINESTRING (-120.4175160 34.5986780, -120.4174920 34.5986360, -120.4173450 34.5984510, -120.4171980 34.5982940, -120.4170550 34.5981660, -120.4168900 34.5980410, -120.4167020 34.5979210, -120.4165020 34.5978280, -120.4162690 34.5977340, -120.4156710 34.5975630, -120.4147880 34.5973420, -120.4128650 34.5968860, -120.4126340 34.5968310, -120.4120760 34.5966770, -120.4119120 34.5966140, -120.4117330 34.5965340, -120.4114560 34.5963850, -120.4111800 34.5962040, -120.4110780 34.5961230, -120.4108600 34.5959280, -120.4107020 34.5957480, -120.4105580 34.5955470)"
S1,"LINESTRING (-120.3944150 34.5846730, -120.3939680 34.5845560, -120.3934780 34.5844370, -120.3929740 34.5843550, -120.3924570 34.5843220)"
S1,"LINESTRING (-120.3371490 34.5216840, -120.3366970 34.5215260, -120.3348020 34.5208430)"
S1,"LINESTRING (-120.3410320 34.5246680, -120.3407220 34.5242170, -120.3406070 34.5240820, -120.3404030 34.5238400, -120.3403600 34.5237890, -120.3401770 34.5235940, -120.3398010 34.5232480, -120.3394930 34.5229880, -120.3392100 34.5227650, -120.3388240 34.5224970, -120.3384520 34.5222760, -120.3383300 34.5222030, -120.3378710 34.5219760, -120.3374590 34.5218020)"
S1,"LINESTRING (-120.3504090 34.5359580, -120.3501710 34.5357250)"
S1,"LINESTRING (-120.3410320 34.5246680, -120.3410720 34.5247270)"
S1,"LINESTRING (-120.3457030 34.5314300, -120.3455970 34.5313240)"
S1,"LINESTRING (-120.3457380 34.5314650, -120.3457030 34.5314300)"
S1,"LINESTRING (-120.3348020 34.5208430, -120.3341770 34.5206170)"
S1,"LINESTRING (-120.3277330 34.5184090, -120.3276010 34.5183750, -120.3271190 34.5182790, -120.3252880 34.5179910, -120.3248980 34.5179430, -120.3247800 34.5179340)"
S1,"LINESTRING (-120.3374590 34.5218020, -120.3373180 34.5217430, -120.3371490 34.5216840)"
S1,"LINESTRING (-120.3592290 34.5516210, -120.3593950 34.5518900, -120.3597770 34.5524470, -120.3604010 34.5534020, -120.3608340 34.5540860, -120.3617230 34.5554550, -120.3619240 34.5558200, -120.3621060 34.5561980, -120.3622420 34.5565070, -120.3624290 34.5569890, -120.3626040 34.5574000, -120.3626400 34.5574970)"
S1,"LINESTRING (-120.3650660 34.5636850, -120.3651740 34.5639700, -120.3657110 34.5652980, -120.3658810 34.5657510, -120.3660090 34.5659880, -120.3660830 34.5661070, -120.3663640 34.5664050, -120.3664520 34.5664840)"
S1,"LINESTRING (-120.3626400 34.5574970, -120.3627550 34.5578080)"
S1,"LINESTRING (-120.3753440 34.5761510, -120.3750300 34.5758540, -120.3742380 34.5751970, -120.3733160 34.5745700, -120.3721180 34.5737330, -120.3716970 34.5733620, -120.3714300 34.5730820)"
S1,"LINESTRING (-120.3825670 34.5812930, -120.3825020 34.5812380, -120.3821190 34.5810140, -120.3809870 34.5805990, -120.3805330 34.5804500, -120.3801310 34.5802760, -120.3799830 34.5801830)"
S1,"LINESTRING (-120.3830370 34.5817600, -120.3829900 34.5817000, -120.3827630 34.5814580, -120.3825670 34.5812930)"
S1,"LINESTRING (-120.3526990 34.5383580, -120.3528810 34.5386360)"
S1,"LINESTRING (-120.2687760 34.5205570, -120.2675480 34.5201840, -120.2663190 34.5197840)"
U101,"LINESTRING (-120.2258650 34.5091590, -120.2256260 34.5095470, -120.2254250 34.5098310, -120.2251630 34.5101690, -120.2249320 34.5104070, -120.2246710 34.5106580, -120.2243610 34.5109190, -120.2242590 34.5109930)"
U101,"LINESTRING (-120.2280410 34.4860970, -120.2277470 34.4863340, -120.2265710 34.4875040, -120.2263620 34.4877730, -120.2262010 34.4880550, -120.2261060 34.4882830, -120.2259740 34.4887580, -120.2259690 34.4887850)"
U101,"LINESTRING (-120.2307760 34.4964020, -120.2308650 34.4967610, -120.2308800 34.4968420)"
U101,"LINESTRING (-120.2259250 34.4890840, -120.2259140 34.4891810, -120.2259070 34.4893840)"
U101,"LINESTRING (-120.2259690 34.4887850, -120.2259440 34.4889260, -120.2259340 34.4890100, -120.2259250 34.4890840)"
U101,"LINESTRING (-120.2308800 34.4968420, -120.2308920 34.4969030, -120.2309140 34.4970950, -120.2309170 34.4973050, -120.2309080 34.4978070, -120.2308690 34.4980420)"
U101,"LINESTRING (-120.2266470 34.5034120, -120.2265080 34.5037660, -120.2263710 34.5042790, -120.2263150 34.5045680)"
S1,"LINESTRING (-120.2368040 34.5122850, -120.2365800 34.5121910, -120.2350350 34.5115890, -120.2337050 34.5111240, -120.2331360 34.5109490, -120.2327710 34.5108560, -120.2325460 34.5108100, -120.2320490 34.5107320, -120.2315280 34.5106840, -120.2296670 34.5107060)"
U101,"LINESTRING (-120.2258820 34.5091310, -120.2258650 34.5091590)"
U101,"LINESTRING (-120.2258860 34.5091210, -120.2258820 34.5091310)"
U101,"LINESTRING (-120.2108010 34.4734960, -120.2107760 34.4734960, -120.2100620 34.4735190, -120.2096200 34.4735250)"
U101,"LINESTRING (-120.2005570 34.4735690, -120.2000420 34.4735400, -120.1994470 34.4734860)"
U101,"LINESTRING (-120.2008740 34.4735850, -120.2007520 34.4735800, -120.2005570 34.4735690)"
U101,"LINESTRING (-120.2218440 34.5128410, -120.2211420 34.5133790, -120.2211210 34.5133930, -120.2210270 34.5134540, -120.2208570 34.5135610)"
U101,"LINESTRING (-120.2242590 34.5109930, -120.2240390 34.5111540, -120.2237430 34.5113810, -120.2230830 34.5118760, -120.2229840 34.5119590, -120.2225880 34.5122560, -120.2220410 34.5126900, -120.2218440 34.5128410)"
U101,"LINESTRING (-120.1991610 34.5255220, -120.1990880 34.5255780, -120.1985180 34.5259880, -120.1981840 34.5263090, -120.1981500 34.5263470, -120.1977950 34.5267360, -120.1976140 34.5269430, -120.1972540 34.5274520, -120.1969830 34.5280110, -120.1967050 34.5286660, -120.1964920 34.5293440, -120.1963650 34.5299730, -120.1963190 34.5304270, -120.1963380 34.5311180, -120.1963650 34.5316190, -120.1963920 34.5321200, -120.1964400 34.5328470)"
U101,"LINESTRING (-120.1964140 34.5413750, -120.1963330 34.5415740, -120.1961840 34.5419410)"
U101,"LINESTRING (-120.1967380 34.5405390, -120.1967040 34.5406430, -120.1965290 34.5410940, -120.1964140 34.5413750)"
U101,"LINESTRING (-120.1937440 34.5757750, -120.1937930 34.5761970, -120.1938330 34.5766140, -120.1938190 34.5771070)"
U101,"LINESTRING (-120.1935900 34.5744470, -120.1935980 34.5745210, -120.1936980 34.5753760)"
U101,"LINESTRING (-120.1943230 34.5939480, -120.1943180 34.5940580, -120.1942960 34.5944050, -120.1942800 34.5946130)"
U101,"LINESTRING (-120.1940740 34.5955900, -120.1939220 34.5960460, -120.1937520 34.5964400, -120.1937200 34.5965230)"
U101,"LINESTRING (-120.1937200 34.5965230, -120.1937080 34.5965540, -120.1935830 34.5968260)"
U101,"LINESTRING (-120.1923320 34.5477830, -120.1923050 34.5478560, -120.1919780 34.5486100, -120.1917590 34.5493630, -120.1916340 34.5498310, -120.1914020 34.5508850, -120.1913470 34.5515060, -120.1913080 34.5519660, -120.1912870 34.5525150, -120.1913130 34.5529680, -120.1913400 34.5534510, -120.1914030 34.5539210, -120.1914930 34.5543020)"
U101,"LINESTRING (-120.1916490 34.5892890, -120.1917580 34.5894500, -120.1918410 34.5895600)"
S246,"LINESTRING (-120.1932980 34.6132700, -120.1924220 34.6129460, -120.1910290 34.6124200)"
