school,name,geom,wkt
http://gnis-ld.org/lod/gnis/feature/2518383,Taylor Elementary School,http://gnis-ld.org/geometry/point/gnisf.2518383,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4228847 34.97441)
http://gnis-ld.org/lod/gnis/feature/271026,El Camino School,http://gnis-ld.org/geometry/point/gnisf.271026,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.796771 34.4400091)
http://gnis-ld.org/lod/gnis/feature/1871725,Miguelito Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871725,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4766872 34.6336813)
http://gnis-ld.org/lod/gnis/feature/241879,El Camino Junior High School,http://gnis-ld.org/geometry/point/gnisf.241879,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4388057 34.9591028)
http://gnis-ld.org/lod/gnis/feature/1871531,Arellanes Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871531,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4820507 34.8953428)
http://gnis-ld.org/lod/gnis/feature/239564,Bonita Elementary School,http://gnis-ld.org/geometry/point/gnisf.239564,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.5093022 34.9576786)
http://gnis-ld.org/lod/gnis/feature/238529,Allan Hancock College,http://gnis-ld.org/geometry/point/gnisf.238529,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4210766 34.9436216)
http://gnis-ld.org/lod/gnis/feature/1871805,Santa Ynez Valley Christian Academy,http://gnis-ld.org/geometry/point/gnisf.1871805,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0991005 34.6060632)
http://gnis-ld.org/lod/gnis/feature/1871713,Lompoc Grade School (historical),http://gnis-ld.org/geometry/point/gnisf.1871713,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4587744 34.6424833)
http://gnis-ld.org/lod/gnis/feature/2370653,Santa Barbara College of Oriental Medicine,http://gnis-ld.org/geometry/point/gnisf.2370653,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7139774 34.4300382)
http://gnis-ld.org/lod/gnis/feature/2370561,Santa Barbara Business College,http://gnis-ld.org/geometry/point/gnisf.2370561,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6966434 34.4161586)
http://gnis-ld.org/lod/gnis/feature/1871947,Monte Vista Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871947,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7457914 34.4504995)
http://gnis-ld.org/lod/gnis/feature/250805,Montecito Union Elementary School,http://gnis-ld.org/geometry/point/gnisf.250805,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6326475 34.4323492)
http://gnis-ld.org/lod/gnis/feature/1871532,Ernest Righetti High School,http://gnis-ld.org/geometry/point/gnisf.1871532,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4212631 34.8845188)
http://gnis-ld.org/lod/gnis/feature/244123,Mary Buren Elementary School,http://gnis-ld.org/geometry/point/gnisf.244123,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.5669124 34.9701452)
http://gnis-ld.org/lod/gnis/feature/1871682,Vandenberg Middle School,http://gnis-ld.org/geometry/point/gnisf.1871682,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.5168712 34.7510671)
http://gnis-ld.org/lod/gnis/feature/2518360,Riverview Christian School,http://gnis-ld.org/geometry/point/gnisf.2518360,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4396175 34.6537474)
http://gnis-ld.org/lod/gnis/feature/247322,Peabody Charter School,http://gnis-ld.org/geometry/point/gnisf.247322,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7288923 34.4417104)
http://gnis-ld.org/lod/gnis/feature/1871547,Saint Joseph High School,http://gnis-ld.org/geometry/point/gnisf.1871547,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4179104 34.8818731)
http://gnis-ld.org/lod/gnis/feature/1871638,Garey School (historical),http://gnis-ld.org/geometry/point/gnisf.1871638,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.3140467 34.8883126)
http://gnis-ld.org/lod/gnis/feature/1693272,Cuyama School (historical),http://gnis-ld.org/geometry/point/gnisf.1693272,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.595127 34.9313646)
http://gnis-ld.org/lod/gnis/feature/243187,Hapgood Elementary School,http://gnis-ld.org/geometry/point/gnisf.243187,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4486797 34.6347532)
http://gnis-ld.org/lod/gnis/feature/243989,Jalama School,http://gnis-ld.org/geometry/point/gnisf.243989,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4104381 34.5688739)
http://gnis-ld.org/lod/gnis/feature/1871909,Vieja Valley School,http://gnis-ld.org/geometry/point/gnisf.1871909,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7693198 34.4357817)
http://gnis-ld.org/lod/gnis/feature/1871709,Maple Continuation High School,http://gnis-ld.org/geometry/point/gnisf.1871709,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4706295 34.6944647)
http://gnis-ld.org/lod/gnis/feature/1871649,New Cuyama Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871649,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6865199 34.9446991)
http://gnis-ld.org/lod/gnis/feature/1871796,Refugio High School,http://gnis-ld.org/geometry/point/gnisf.1871796,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0995205 34.608138)
http://gnis-ld.org/lod/gnis/feature/244122,Santa Maria High School,http://gnis-ld.org/geometry/point/gnisf.244122,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4373504 34.9422482)
http://gnis-ld.org/lod/gnis/feature/238569,Alvin Elementary School,http://gnis-ld.org/geometry/point/gnisf.238569,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4323738 34.9609713)
http://gnis-ld.org/lod/gnis/feature/238785,Artesia School,http://gnis-ld.org/geometry/point/gnisf.238785,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.528222 34.6610939)
http://gnis-ld.org/lod/gnis/feature/239484,Benjamin Foxen Elementary School,http://gnis-ld.org/geometry/point/gnisf.239484,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.2962673 34.866599)
http://gnis-ld.org/lod/gnis/feature/240356,Cate High School,http://gnis-ld.org/geometry/point/gnisf.240356,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.479846 34.4049215)
http://gnis-ld.org/lod/gnis/feature/240760,Cold Spring Elementary School,http://gnis-ld.org/geometry/point/gnisf.240760,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6605482 34.4411153)
http://gnis-ld.org/lod/gnis/feature/240880,Cook Street School,http://gnis-ld.org/geometry/point/gnisf.240880,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4401638 34.9491449)
http://gnis-ld.org/lod/gnis/feature/242144,Fairlawn Elementary School,http://gnis-ld.org/geometry/point/gnisf.242144,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4474204 34.9541922)
http://gnis-ld.org/lod/gnis/feature/242456,Franklin School,http://gnis-ld.org/geometry/point/gnisf.242456,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6793002 34.4263857)
http://gnis-ld.org/lod/gnis/feature/276485,Franklin School,http://gnis-ld.org/geometry/point/gnisf.276485,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.679578 34.4261079)
http://gnis-ld.org/lod/gnis/feature/242624,Alice F Schott Continuing Education Center,http://gnis-ld.org/geometry/point/gnisf.242624,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7198584 34.4283307)
http://gnis-ld.org/lod/gnis/feature/243215,Harding University Partnership School,http://gnis-ld.org/geometry/point/gnisf.243215,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7213163 34.4165258)
http://gnis-ld.org/lod/gnis/feature/244039,Jefferson School,http://gnis-ld.org/geometry/point/gnisf.244039,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6943014 34.4369413)
http://gnis-ld.org/lod/gnis/feature/244398,La Cumbre Junior High School,http://gnis-ld.org/geometry/point/gnisf.244398,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7283353 34.4241895)
http://gnis-ld.org/lod/gnis/feature/244847,Lincoln School,http://gnis-ld.org/geometry/point/gnisf.244847,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6948566 34.4194416)
http://gnis-ld.org/lod/gnis/feature/276486,Lincoln School,http://gnis-ld.org/geometry/point/gnisf.276486,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6962456 34.4186083)
http://gnis-ld.org/lod/gnis/feature/245477,Maple School,http://gnis-ld.org/geometry/point/gnisf.245477,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4932205 34.653594)
